feat size,coo 8-head,coo,csr 8-head,csr
1,40.88299425355794,7.471030969463885,40.1106471727387,5.991329260350921
2,57.869576927843305,6.57630742464391,62.729380939989404,11.81716921324418
4,78.48248802541107,22.696415306042287,90.7094258245643,23.336410037391225
8,102.81686570754478,40.77605008904253,120.14087927250483,45.510596376350584
16,120.8269354862692,59.61489790815228,145.73969094777254,79.75938645490297
32,129.765790747617,80.7539303456269,167.08599498778793,120.91265022451631
64,136.9012227345431,102.52923615170742,196.98422256293128,159.8500769891638
128,139.27190030444567,122.32131535038297,220.79598250895975,183.84800767505064
