feat size,coo 8-head,coo,csr 8-head,csr
1,61.73190364806769,12.708318643614131,57.332533219161725,14.358686784200119
2,85.8462388892605,18.3100031963827,95.16412797903337,28.51403219405943
4,103.78112308608887,35.156212013232576,131.3451979600758,56.490986008283
8,113.97933336642728,64.27618679234212,166.39837454801474,110.88465639543266
16,130.79024001422383,89.89919581337891,201.3819018194903,189.51682246030686
32,137.48096975079253,107.21911618761342,225.78933595140143,319.6388073755283
64,147.85186694352402,113.49544737582742,261.09050038046627,410.91345496114525
128,146.99590977190348,132.29478109331626,293.0350168139629,464.99691344273157
