feat size,coo 8-head,coo,csr 8-head,csr
1,29.104492535327385,7.859304361586469,14.960448860486139,5.808940343666998
2,55.802728226913764,15.275765115995128,29.279849365611167,11.527080913992743
4,105.07375191021744,30.44124529532865,57.87354196904082,22.00055240570965
8,184.34732524287466,59.224985108952794,106.93918738510597,45.46059926840734
16,226.792827764481,109.19754844981675,157.26303494463284,87.43062771212425
32,172.7033840793716,174.15494763214824,152.5466449811495,163.08514745715163
64,187.74726759794922,259.04142156251106,173.27154088037838,278.40271879027154
128,196.7153498330872,338.9525914931411,187.94225132088837,453.0525993115902
