feat size,coo 8-head,coo,csr 8-head,csr
1,53.98403380513676,10.370370326687876,47.803397660474594,9.499324089857257
2,74.73283524456065,16.28535711669358,78.76598631642675,18.837380403431553
4,99.90243954730235,31.028288437352142,112.40505469435577,37.46994278257239
8,115.79558432770112,55.087611761426956,144.7824885335884,73.45014775571515
16,130.1856217796432,78.11682520681192,176.04021526728076,128.59994232744776
32,136.58861862577348,102.65296681119091,199.0800046232085,206.21403729899203
64,143.83668416955626,115.53370728590771,232.64111864183258,269.7874664701889
128,143.9697337196606,130.8327624846599,261.44053873817813,309.2675343063111
