feat size,coo 8-head,coo,csr 8-head,csr
1,62.15284799145625,12.886214239617596,58.95166033687839,14.547996908466631
2,86.22367709937947,18.497284604822248,98.07588114240022,28.886733952980034
4,104.81142569906696,35.627991479887285,132.94770260889402,57.15247847054412
8,114.78086219273318,64.47465539477481,167.86723098595874,112.40346516264394
16,132.1996568055222,90.3548496951642,202.95282042198903,192.07165694196217
32,138.49683219461375,107.77910113781701,227.44159561197728,321.48833319865554
64,148.42342304028153,114.2801616231947,262.51431759190046,412.07339908158167
128,147.08213907082495,132.63625535840163,293.6951876827988,466.63568202827344
