feat size,coo 8-head,coo,csr 8-head,csr
1,54.697697550352224,10.62403394910898,49.756883928867765,9.713429283766951
2,75.57546162376038,16.53773975747913,80.45110673385575,19.187249506224916
4,100.42512257870564,31.503019266030186,113.7217495356411,38.06702472701733
8,117.15627360426211,56.03524795276387,145.9389614247362,74.73406784334803
16,130.8314018613902,78.56660859443154,176.90891743078947,130.6318114235984
32,137.50571126709062,102.20120862698414,200.72420324351393,208.4214663020695
64,144.65261469535398,116.66997297342093,233.2425084794938,272.0361012435098
128,144.61694109809957,131.79879962290298,262.69973297369296,310.4359940782031
