feat size,coo 8-head,coo,csr 8-head,csr
1,39.842973582646906,20.70838362746929,19.42586936489807,11.679402977407255
2,74.4190880977716,39.59674102399826,37.6612758671614,22.944207875341853
4,143.31879685857245,76.72259241736333,75.09567948526268,45.89796560703383
8,246.96882609007815,146.08075335480106,137.17224722124564,89.97818973959565
16,282.27938949667356,265.4507569751127,192.27387225292063,168.47053171944503
32,202.6782127995875,418.52352132219875,176.50315625415163,297.9102484672894
64,217.16687918393794,593.3314415729219,200.58360215024214,481.4221677533118
128,225.51829824938417,741.2017447215424,216.33052580385683,693.3454197794986
