feat size,coo 8-head,coo,csr 8-head,csr
1,25.978706207051122,4.170142278251447,24.136861580826192,3.160917563793472
2,38.60620554110691,7.568968584104007,40.40332763900128,6.349162193687614
4,54.50281810496984,13.745613548893612,60.48364316035383,12.642839486886674
8,71.64817588998517,25.269075609212535,84.996377981483,24.780319532609447
16,96.45254323370132,41.38670140982699,106.67611092565478,43.07285845082617
32,112.57493780686423,59.39923321222084,123.23896392349386,65.4019344154825
64,121.07373077731219,79.05052449498622,147.82806131636758,86.49605770199831
128,125.39596393230319,98.52826229672979,166.36318162087792,99.00413422217649
